team_id,team_name,games_played,wins,losses,win_pct,off_rtg,def_rtg,net_rtg,pace,pie
1610612737,Atlanta Hawks,82,43,39,0.524,115.4,113.7,1.6,98.67,0.509
1610612738,Boston Celtics,82,51,31,0.622,113.6,106.2,7.4,97.26,0.547
1610612751,Brooklyn Nets,82,44,38,0.537,113.2,112.3,0.9,99.4,0.512
1610612766,Charlotte Hornets,82,43,39,0.524,113.6,113.1,0.5,100.52,0.504
1610612741,Chicago Bulls,82,46,36,0.561,112.7,113.2,-0.5,98.76,0.496
1610612739,Cleveland Cavaliers,82,44,38,0.537,111.0,108.9,2.1,96.83,0.517
1610612742,Dallas Mavericks,82,52,30,0.634,112.5,109.1,3.5,95.64,0.511
1610612743,Denver Nuggets,82,48,34,0.585,113.8,111.5,2.3,98.41,0.516
1610612765,Detroit Pistons,82,23,59,0.28,105.6,113.3,-7.7,98.81,0.45
1610612744,Golden State Warriors,82,53,29,0.646,112.1,106.6,5.5,98.74,0.536
1610612745,Houston Rockets,82,20,62,0.244,108.1,116.4,-8.3,101.16,0.451
1610612754,Indiana Pacers,82,25,57,0.305,111.9,115.5,-3.6,98.55,0.478
1610612746,LA Clippers,82,42,40,0.512,109.5,109.5,0.0,98.51,0.502
1610612747,Los Angeles Lakers,82,33,49,0.402,110.0,112.8,-2.9,100.47,0.482
1610612763,Memphis Grizzlies,82,56,26,0.683,114.3,108.9,5.3,100.52,0.53
1610612748,Miami Heat,82,53,29,0.646,113.0,108.4,4.5,96.53,0.529
1610612749,Milwaukee Bucks,82,51,31,0.622,114.3,111.1,3.2,100.59,0.516
1610612750,Minnesota Timberwolves,82,46,36,0.561,113.8,111.0,2.7,101.47,0.504
1610612740,New Orleans Pelicans,82,36,46,0.439,111.2,112.0,-0.8,98.02,0.5
1610612752,New York Knicks,82,37,45,0.451,109.7,110.2,-0.4,96.42,0.491
1610612760,Oklahoma City Thunder,82,24,58,0.293,103.8,111.7,-8.0,99.39,0.451
1610612753,Orlando Magic,82,22,60,0.268,103.9,112.1,-8.1,99.71,0.458
1610612755,Philadelphia 76ers,82,51,31,0.622,113.0,110.2,2.8,96.71,0.517
1610612756,Phoenix Suns,82,64,18,0.78,114.2,106.8,7.5,100.26,0.548
1610612757,Portland Trail Blazers,82,27,55,0.329,107.3,116.3,-9.1,98.74,0.447
1610612758,Sacramento Kings,82,30,52,0.366,109.6,114.8,-5.2,100.1,0.473
1610612759,San Antonio Spurs,82,34,48,0.415,111.9,111.7,0.2,100.51,0.51
1610612761,Toronto Raptors,82,48,34,0.585,112.1,109.9,2.2,96.63,0.494
1610612762,Utah Jazz,82,49,33,0.598,116.2,110.0,6.2,97.5,0.528
1610612764,Washington Wizards,82,35,47,0.427,110.2,113.6,-3.4,97.8,0.496
