GAME_ID,GAME_DATE,TEAM_ID,TEAM_NAME,MATCHUP,WL,PTS,PLUS_MINUS
0042500405,2026-06-13,1610612759,San Antonio Spurs,SAS vs. NYK,L,90,-4.0
0042500405,2026-06-13,1610612752,New York Knicks,NYK @ SAS,W,94,4.0
0042500404,2026-06-10,1610612752,New York Knicks,NYK vs. SAS,W,107,1.0
0042500404,2026-06-10,1610612759,San Antonio Spurs,SAS @ NYK,L,106,-1.0
0042500403,2026-06-08,1610612752,New York Knicks,NYK vs. SAS,L,111,-4.0
0042500403,2026-06-08,1610612759,San Antonio Spurs,SAS @ NYK,W,115,4.0
0042500402,2026-06-05,1610612759,San Antonio Spurs,SAS vs. NYK,L,104,-1.0
0042500402,2026-06-05,1610612752,New York Knicks,NYK @ SAS,W,105,1.0
0042500401,2026-06-03,1610612759,San Antonio Spurs,SAS vs. NYK,L,95,-10.0
0042500401,2026-06-03,1610612752,New York Knicks,NYK @ SAS,W,105,10.0
0042500317,2026-05-30,1610612759,San Antonio Spurs,SAS @ OKC,W,111,8.0
0042500317,2026-05-30,1610612760,Oklahoma City Thunder,OKC vs. SAS,L,103,-8.0
0042500316,2026-05-28,1610612760,Oklahoma City Thunder,OKC @ SAS,L,91,-27.0
0042500316,2026-05-28,1610612759,San Antonio Spurs,SAS vs. OKC,W,118,27.0
0042500315,2026-05-26,1610612759,San Antonio Spurs,SAS @ OKC,L,114,-13.0
0042500315,2026-05-26,1610612760,Oklahoma City Thunder,OKC vs. SAS,W,127,13.0
0042500304,2026-05-25,1610612752,New York Knicks,NYK @ CLE,W,130,37.0
0042500304,2026-05-25,1610612739,Cleveland Cavaliers,CLE vs. NYK,L,93,-37.0
0042500314,2026-05-24,1610612760,Oklahoma City Thunder,OKC @ SAS,L,82,-21.0
0042500314,2026-05-24,1610612759,San Antonio Spurs,SAS vs. OKC,W,103,21.0
0042500303,2026-05-23,1610612752,New York Knicks,NYK @ CLE,W,121,13.0
0042500303,2026-05-23,1610612739,Cleveland Cavaliers,CLE vs. NYK,L,108,-13.0
0042500313,2026-05-22,1610612759,San Antonio Spurs,SAS vs. OKC,L,108,-15.0
0042500313,2026-05-22,1610612760,Oklahoma City Thunder,OKC @ SAS,W,123,15.0
0042500302,2026-05-21,1610612739,Cleveland Cavaliers,CLE @ NYK,L,93,-16.0
0042500302,2026-05-21,1610612752,New York Knicks,NYK vs. CLE,W,109,16.0
0042500312,2026-05-20,1610612759,San Antonio Spurs,SAS @ OKC,L,113,-9.0
0042500312,2026-05-20,1610612760,Oklahoma City Thunder,OKC vs. SAS,W,122,9.0
0042500301,2026-05-19,1610612739,Cleveland Cavaliers,CLE @ NYK,L,104,-11.0
0042500301,2026-05-19,1610612752,New York Knicks,NYK vs. CLE,W,115,11.0
0042500311,2026-05-18,1610612759,San Antonio Spurs,SAS @ OKC,W,122,7.0
0042500311,2026-05-18,1610612760,Oklahoma City Thunder,OKC vs. SAS,L,115,-7.0
0042500207,2026-05-17,1610612739,Cleveland Cavaliers,CLE @ DET,W,125,31.0
0042500207,2026-05-17,1610612765,Detroit Pistons,DET vs. CLE,L,94,-31.0
0042500206,2026-05-15,1610612739,Cleveland Cavaliers,CLE vs. DET,L,94,-21.0
0042500206,2026-05-15,1610612765,Detroit Pistons,DET @ CLE,W,115,21.0
0042500236,2026-05-15,1610612759,San Antonio Spurs,SAS @ MIN,W,139,30.0
0042500236,2026-05-15,1610612750,Minnesota Timberwolves,MIN vs. SAS,L,109,-30.0
0042500205,2026-05-13,1610612765,Detroit Pistons,DET vs. CLE,L,113,-4.0
0042500205,2026-05-13,1610612739,Cleveland Cavaliers,CLE @ DET,W,117,4.0
0042500235,2026-05-12,1610612750,Minnesota Timberwolves,MIN @ SAS,L,97,-29.0
0042500235,2026-05-12,1610612759,San Antonio Spurs,SAS vs. MIN,W,126,29.0
0042500204,2026-05-11,1610612765,Detroit Pistons,DET @ CLE,L,103,-9.0
0042500204,2026-05-11,1610612739,Cleveland Cavaliers,CLE vs. DET,W,112,9.0
0042500224,2026-05-11,1610612747,Los Angeles Lakers,LAL vs. OKC,L,110,-5.0
0042500224,2026-05-11,1610612760,Oklahoma City Thunder,OKC @ LAL,W,115,5.0
0042500214,2026-05-10,1610612755,Philadelphia 76ers,PHI vs. NYK,L,114,-30.0
0042500234,2026-05-10,1610612750,Minnesota Timberwolves,MIN vs. SAS,W,114,5.0
0042500234,2026-05-10,1610612759,San Antonio Spurs,SAS @ MIN,L,109,-5.0
0042500214,2026-05-10,1610612752,New York Knicks,NYK @ PHI,W,144,30.0
0042500223,2026-05-09,1610612760,Oklahoma City Thunder,OKC @ LAL,W,131,23.0
0042500223,2026-05-09,1610612747,Los Angeles Lakers,LAL vs. OKC,L,108,-23.0
0042500203,2026-05-09,1610612739,Cleveland Cavaliers,CLE vs. DET,W,116,7.0
0042500203,2026-05-09,1610612765,Detroit Pistons,DET @ CLE,L,109,-7.0
0042500213,2026-05-08,1610612755,Philadelphia 76ers,PHI vs. NYK,L,94,-14.0
0042500233,2026-05-08,1610612750,Minnesota Timberwolves,MIN vs. SAS,L,108,-7.0
0042500213,2026-05-08,1610612752,New York Knicks,NYK @ PHI,W,108,14.0
0042500233,2026-05-08,1610612759,San Antonio Spurs,SAS @ MIN,W,115,7.0
0042500222,2026-05-07,1610612760,Oklahoma City Thunder,OKC vs. LAL,W,125,18.0
0042500222,2026-05-07,1610612747,Los Angeles Lakers,LAL @ OKC,L,107,-18.0
0042500202,2026-05-07,1610612739,Cleveland Cavaliers,CLE @ DET,L,97,-10.0
