GAME_ID,GAME_DATE,TEAM_ID,TEAM_NAME,MATCHUP,WL,PTS,PLUS_MINUS
0042400407,2025-06-22,1610612754,Indiana Pacers,IND @ OKC,L,91,-12.0
0042400407,2025-06-22,1610612760,Oklahoma City Thunder,OKC vs. IND,W,103,12.0
0042400406,2025-06-19,1610612760,Oklahoma City Thunder,OKC @ IND,L,91,-17.0
0042400406,2025-06-19,1610612754,Indiana Pacers,IND vs. OKC,W,108,17.0
0042400405,2025-06-16,1610612754,Indiana Pacers,IND @ OKC,L,109,-11.0
0042400405,2025-06-16,1610612760,Oklahoma City Thunder,OKC vs. IND,W,120,11.0
0042400404,2025-06-13,1610612754,Indiana Pacers,IND vs. OKC,L,104,-7.0
0042400404,2025-06-13,1610612760,Oklahoma City Thunder,OKC @ IND,W,111,7.0
0042400403,2025-06-11,1610612760,Oklahoma City Thunder,OKC @ IND,L,107,-9.0
0042400403,2025-06-11,1610612754,Indiana Pacers,IND vs. OKC,W,116,9.0
0042400402,2025-06-08,1610612754,Indiana Pacers,IND @ OKC,L,107,-16.0
0042400402,2025-06-08,1610612760,Oklahoma City Thunder,OKC vs. IND,W,123,16.0
0042400401,2025-06-05,1610612754,Indiana Pacers,IND @ OKC,W,111,1.0
0042400401,2025-06-05,1610612760,Oklahoma City Thunder,OKC vs. IND,L,110,-1.0
0042400306,2025-05-31,1610612754,Indiana Pacers,IND vs. NYK,W,125,17.0
0042400306,2025-05-31,1610612752,New York Knicks,NYK @ IND,L,108,-17.0
0042400305,2025-05-29,1610612754,Indiana Pacers,IND @ NYK,L,94,-17.0
0042400305,2025-05-29,1610612752,New York Knicks,NYK vs. IND,W,111,17.0
0042400315,2025-05-28,1610612760,Oklahoma City Thunder,OKC vs. MIN,W,124,30.0
0042400315,2025-05-28,1610612750,Minnesota Timberwolves,MIN @ OKC,L,94,-30.0
0042400304,2025-05-27,1610612754,Indiana Pacers,IND vs. NYK,W,130,9.0
0042400304,2025-05-27,1610612752,New York Knicks,NYK @ IND,L,121,-9.0
0042400314,2025-05-26,1610612760,Oklahoma City Thunder,OKC @ MIN,W,128,2.0
0042400314,2025-05-26,1610612750,Minnesota Timberwolves,MIN vs. OKC,L,126,-2.0
0042400303,2025-05-25,1610612752,New York Knicks,NYK @ IND,W,106,6.0
0042400303,2025-05-25,1610612754,Indiana Pacers,IND vs. NYK,L,100,-6.0
0042400313,2025-05-24,1610612750,Minnesota Timberwolves,MIN vs. OKC,W,143,42.0
0042400313,2025-05-24,1610612760,Oklahoma City Thunder,OKC @ MIN,L,101,-42.0
0042400302,2025-05-23,1610612754,Indiana Pacers,IND @ NYK,W,114,5.0
0042400302,2025-05-23,1610612752,New York Knicks,NYK vs. IND,L,109,-5.0
0042400312,2025-05-22,1610612760,Oklahoma City Thunder,OKC vs. MIN,W,118,15.0
0042400312,2025-05-22,1610612750,Minnesota Timberwolves,MIN @ OKC,L,103,-15.0
0042400301,2025-05-21,1610612754,Indiana Pacers,IND @ NYK,W,138,3.0
0042400301,2025-05-21,1610612752,New York Knicks,NYK vs. IND,L,135,-3.0
0042400311,2025-05-20,1610612760,Oklahoma City Thunder,OKC vs. MIN,W,114,26.0
0042400311,2025-05-20,1610612750,Minnesota Timberwolves,MIN @ OKC,L,88,-26.0
0042400227,2025-05-18,1610612743,Denver Nuggets,DEN @ OKC,L,93,-32.0
0042400227,2025-05-18,1610612760,Oklahoma City Thunder,OKC vs. DEN,W,125,32.0
0042400216,2025-05-16,1610612738,Boston Celtics,BOS @ NYK,L,81,-38.0
0042400216,2025-05-16,1610612752,New York Knicks,NYK vs. BOS,W,119,38.0
0042400226,2025-05-15,1610612760,Oklahoma City Thunder,OKC @ DEN,L,107,-12.0
0042400226,2025-05-15,1610612743,Denver Nuggets,DEN vs. OKC,W,119,12.0
0042400215,2025-05-14,1610612752,New York Knicks,NYK @ BOS,L,102,-25.0
0042400235,2025-05-14,1610612744,Golden State Warriors,GSW @ MIN,L,110,-11.0
0042400235,2025-05-14,1610612750,Minnesota Timberwolves,MIN vs. GSW,W,121,11.0
0042400215,2025-05-14,1610612738,Boston Celtics,BOS vs. NYK,W,127,25.0
0042400205,2025-05-13,1610612754,Indiana Pacers,IND @ CLE,W,114,9.0
0042400205,2025-05-13,1610612739,Cleveland Cavaliers,CLE vs. IND,L,105,-9.0
0042400225,2025-05-13,1610612760,Oklahoma City Thunder,OKC vs. DEN,W,112,7.0
0042400225,2025-05-13,1610612743,Denver Nuggets,DEN @ OKC,L,105,-7.0
0042400214,2025-05-12,1610612752,New York Knicks,NYK vs. BOS,W,121,8.0
0042400234,2025-05-12,1610612750,Minnesota Timberwolves,MIN @ GSW,W,117,7.0
0042400214,2025-05-12,1610612738,Boston Celtics,BOS @ NYK,L,113,-8.0
0042400234,2025-05-12,1610612744,Golden State Warriors,GSW vs. MIN,L,110,-7.0
0042400204,2025-05-11,1610612739,Cleveland Cavaliers,CLE @ IND,L,109,-20.0
0042400204,2025-05-11,1610612754,Indiana Pacers,IND vs. CLE,W,129,20.0
0042400224,2025-05-11,1610612743,Denver Nuggets,DEN vs. OKC,L,87,-5.0
0042400224,2025-05-11,1610612760,Oklahoma City Thunder,OKC @ DEN,W,92,5.0
0042400213,2025-05-10,1610612752,New York Knicks,NYK vs. BOS,L,93,-22.0
0042400213,2025-05-10,1610612738,Boston Celtics,BOS @ NYK,W,115,22.0
0042400233,2025-05-10,1610612750,Minnesota Timberwolves,MIN @ GSW,W,102,5.0
0042400233,2025-05-10,1610612744,Golden State Warriors,GSW vs. MIN,L,97,-5.0
0042400223,2025-05-09,1610612760,Oklahoma City Thunder,OKC @ DEN,L,104,-9.0
0042400223,2025-05-09,1610612743,Denver Nuggets,DEN vs. OKC,W,113,9.0
0042400203,2025-05-09,1610612739,Cleveland Cavaliers,CLE @ IND,W,126,22.0
0042400203,2025-05-09,1610612754,Indiana Pacers,IND vs. CLE,L,104,-22.0
0042400232,2025-05-08,1610612750,Minnesota Timberwolves,MIN vs. GSW,W,117,24.0
0042400232,2025-05-08,1610612744,Golden State Warriors,GSW @ MIN,L,93,-24.0
0042400212,2025-05-07,1610612752,New York Knicks,NYK @ BOS,W,91,1.0
