team_id,team_name,games_played,wins,losses,win_pct,off_rtg,def_rtg,net_rtg,pace,pie,tov_pct,oreb_pct,ts_pct,fg3_rate,ftr,point_diff,win_streak,srs
1610612737,Atlanta Hawks,82,36,46,0.439,116.4,118.4,-2.0,100.84,0.482,0.133,0.308,0.5759045059781127,0.4075675675675676,0.2508108108108108,-2.2,-6,-2.378
1610612738,Boston Celtics,82,64,18,0.78,122.2,110.6,11.7,97.98,0.555,0.121,0.287,0.6085499757791054,0.4711751662971175,0.22394678492239467,11.3,2,10.743
1610612751,Brooklyn Nets,82,32,50,0.39,112.4,115.4,-2.9,97.56,0.483,0.134,0.289,0.5615691381134533,0.41189674523007863,0.2345679012345679,-2.9,-2,-3.022
1610612766,Charlotte Hornets,82,21,61,0.256,108.6,119.2,-10.6,97.81,0.447,0.14,0.253,0.5604862454782535,0.39080459770114945,0.21149425287356322,-10.2,1,-10.119
1610612741,Chicago Bulls,82,39,43,0.476,114.0,115.7,-1.7,96.94,0.493,0.124,0.291,0.5684118885649497,0.358659217877095,0.2357541899441341,-1.4,-1,-1.76
1610612739,Cleveland Cavaliers,82,48,34,0.585,114.7,112.1,2.5,97.62,0.519,0.138,0.274,0.5853851272666777,0.4220183486238532,0.23394495412844035,2.4,-1,1.976
1610612742,Dallas Mavericks,82,50,32,0.61,117.0,114.9,2.1,100.6,0.506,0.124,0.257,0.5918674698795181,0.44035674470457076,0.2508361204013378,2.2,-2,2.296
1610612743,Denver Nuggets,82,57,25,0.695,117.8,112.3,5.5,97.43,0.533,0.13,0.3,0.5888925335192096,0.35135135135135137,0.22409909909909909,5.3,1,5.225
1610612765,Detroit Pistons,82,14,68,0.171,109.0,118.0,-9.0,100.45,0.449,0.151,0.277,0.5621598395875107,0.35941043083900226,0.24603174603174602,-9.1,-1,-9.062
1610612744,Golden State Warriors,82,46,36,0.561,116.9,114.5,2.4,99.91,0.512,0.142,0.315,0.5866533864541833,0.42467248908296945,0.2183406113537118,2.6,1,2.765
1610612745,Houston Rockets,82,41,41,0.5,113.7,112.8,0.9,99.59,0.501,0.127,0.294,0.5641881219396621,0.39670329670329674,0.2571428571428571,1.1,2,1.237
1610612754,Indiana Pacers,82,47,35,0.573,120.5,117.6,2.9,102.16,0.517,0.126,0.284,0.6060755013763272,0.38079827400215743,0.22114347357065803,3.0,1,2.75
1610612746,LA Clippers,82,51,31,0.622,117.9,114.6,3.4,97.93,0.52,0.134,0.283,0.5991624165526391,0.3829296424452134,0.2560553633217993,3.3,-3,3.421
1610612747,Los Angeles Lakers,82,47,35,0.573,115.4,114.8,0.6,101.38,0.518,0.137,0.244,0.6011329828422383,0.3588571428571428,0.2765714285714286,0.6,2,1.083
1610612763,Memphis Grizzlies,82,27,55,0.329,106.8,113.7,-6.9,98.68,0.458,0.152,0.287,0.5428981937602627,0.42857142857142855,0.23809523809523808,-7.0,-5,-6.57
1610612748,Miami Heat,82,46,36,0.561,113.3,111.5,1.8,96.88,0.509,0.13,0.261,0.5777707808564231,0.3936915887850468,0.25700934579439255,1.8,2,1.095
1610612749,Milwaukee Bucks,82,49,33,0.598,117.6,115.0,2.6,100.51,0.511,0.128,0.255,0.6009129837602003,0.4305084745762712,0.27005649717514124,2.6,-2,2.443
1610612750,Minnesota Timberwolves,82,56,26,0.683,114.6,108.4,6.3,97.79,0.543,0.144,0.275,0.5942614329588961,0.38470588235294123,0.26941176470588235,6.5,-1,6.383
1610612740,New Orleans Pelicans,82,49,33,0.598,116.5,111.9,4.6,98.7,0.524,0.132,0.278,0.5906683635766483,0.3729977116704805,0.2608695652173913,4.4,-1,4.459
1610612752,New York Knicks,82,50,32,0.61,117.3,112.4,4.9,95.96,0.515,0.138,0.333,0.573800512757905,0.40360766629086803,0.24577226606538896,4.6,5,4.355
1610612760,Oklahoma City Thunder,82,57,25,0.695,118.3,111.0,7.3,100.85,0.538,0.125,0.25,0.6080396921830701,0.3829787234042554,0.24076147816349386,7.4,5,7.336
1610612753,Orlando Magic,82,47,35,0.573,112.9,110.8,2.2,97.37,0.513,0.15,0.297,0.5777113220962816,0.36866902237926974,0.287396937573616,2.0,1,1.475
1610612755,Philadelphia 76ers,82,47,35,0.573,116.2,113.0,3.1,98.17,0.506,0.122,0.292,0.5742403591758197,0.37248322147651003,0.2639821029082774,3.0,8,2.506
1610612756,Phoenix Suns,82,49,33,0.598,116.8,113.7,3.1,99.0,0.527,0.15,0.292,0.6027221046516454,0.37862950058072015,0.27177700348432055,3.1,3,3.078
1610612757,Portland Trail Blazers,82,21,61,0.256,107.6,116.6,-9.0,97.88,0.434,0.154,0.32,0.5388978930307942,0.3701226309921962,0.22853957636566333,-9.0,-5,-8.299
1610612758,Sacramento Kings,82,46,36,0.561,116.2,114.4,1.8,99.46,0.5,0.131,0.285,0.5824408567774936,0.4323432343234323,0.22992299229922988,1.7,1,2.289
1610612759,San Antonio Spurs,82,22,60,0.268,109.3,115.6,-6.4,101.8,0.48,0.148,0.269,0.5633165829145729,0.40132304299889743,0.2205071664829107,-6.5,2,-5.8
1610612761,Toronto Raptors,82,25,57,0.305,111.8,118.1,-6.3,99.91,0.474,0.139,0.281,0.5665094149429458,0.3690078037904125,0.2408026755852843,-6.4,-4,-6.447
1610612762,Utah Jazz,82,31,51,0.378,114.5,119.6,-5.1,100.26,0.478,0.155,0.325,0.5794038700372581,0.40600667408231367,0.25139043381535037,-4.9,-1,-4.218
1610612764,Washington Wizards,82,15,67,0.183,110.2,118.9,-8.7,103.07,0.454,0.136,0.24,0.5668674218251435,0.3884026258205689,0.22100656455142229,-9.3,-6,-9.295
