team_id,team_name,games_played,wins,losses,win_pct,off_rtg,def_rtg,net_rtg,pace,pie,tov_pct,oreb_pct,ts_pct,fg3_rate,ftr,point_diff,win_streak,srs
1610612737,Atlanta Hawks,82,29,53,0.354,107.5,113.1,-5.5,104.56,0.464,0.162,0.284,0.5548699263438333,0.4030501089324619,0.2549019607843137,-6.0,-3,-6.047
1610612738,Boston Celtics,82,49,33,0.598,111.3,107.0,4.3,100.43,0.53,0.127,0.257,0.5672184093661687,0.3812154696132597,0.2154696132596685,4.4,1,3.915
1610612751,Brooklyn Nets,82,42,40,0.512,108.9,109.0,-0.1,101.52,0.492,0.146,0.282,0.5558858501783591,0.40356744704570796,0.2842809364548495,-0.1,3,-0.241
1610612766,Charlotte Hornets,82,39,43,0.476,110.7,112.0,-1.3,99.18,0.486,0.122,0.268,0.5536993317594334,0.3775055679287305,0.25723830734966596,-1.1,-1,-1.346
1610612741,Chicago Bulls,82,22,60,0.268,104.5,112.8,-8.3,99.3,0.453,0.141,0.242,0.5406770575622629,0.29465301478953354,0.23549488054607506,-8.4,-3,-8.3
1610612739,Cleveland Cavaliers,82,19,63,0.232,106.8,116.8,-10.0,97.37,0.436,0.138,0.282,0.5402862224428175,0.33219178082191786,0.2363013698630137,-9.6,-10,-9.321
1610612742,Dallas Mavericks,82,33,49,0.402,108.7,110.1,-1.5,99.6,0.492,0.142,0.273,0.5554308797127468,0.42117376294591485,0.2911392405063291,-1.3,-1,-0.859
1610612743,Denver Nuggets,82,54,28,0.659,112.1,108.1,4.0,98.49,0.524,0.136,0.308,0.5579862091213356,0.34888888888888886,0.23222222222222222,4.0,1,4.188
1610612765,Detroit Pistons,82,41,41,0.5,108.4,108.7,-0.3,97.88,0.482,0.14,0.291,0.5433457913552161,0.3941109852774632,0.26160815402038506,-0.2,2,-0.485
1610612744,Golden State Warriors,82,57,25,0.695,115.0,108.6,6.5,101.74,0.546,0.139,0.257,0.5957925002024784,0.3830734966592428,0.22717149220489977,6.5,-1,6.315
1610612745,Houston Rockets,82,53,29,0.646,114.9,110.1,4.8,98.39,0.498,0.135,0.269,0.580317110948072,0.5194508009153318,0.2791762013729977,4.8,-1,5.195
1610612754,Indiana Pacers,82,48,34,0.585,109.4,106.0,3.4,98.64,0.527,0.139,0.269,0.560840845831083,0.29195402298850576,0.2425287356321839,3.3,1,2.779
1610612746,LA Clippers,82,48,34,0.585,111.4,110.4,1.0,102.66,0.505,0.141,0.263,0.5752698920431827,0.2948571428571429,0.32571428571428573,0.9,1,0.829
1610612747,Los Angeles Lakers,82,37,45,0.451,107.4,108.9,-1.6,103.6,0.495,0.15,0.27,0.5548276957281245,0.3425414364640884,0.2574585635359116,-1.7,-1,-1.319
1610612763,Memphis Grizzlies,82,33,49,0.402,105.6,108.0,-2.4,97.15,0.49,0.143,0.247,0.547503173931443,0.34241706161137436,0.2725118483412322,-2.6,1,-2.075
1610612748,Miami Heat,82,39,43,0.476,106.7,107.1,-0.4,98.73,0.501,0.149,0.291,0.5417845573461271,0.36818181818181817,0.24659090909090908,-0.2,-1,-0.473
1610612749,Milwaukee Bucks,82,60,22,0.732,113.5,104.9,8.6,103.57,0.553,0.133,0.25,0.5828759821534331,0.4193194291986828,0.25466520307354557,8.9,-1,8.052
1610612750,Minnesota Timberwolves,82,36,46,0.439,110.6,112.2,-1.6,100.88,0.498,0.129,0.292,0.5515138442230764,0.3143483023001095,0.2661555312157722,-1.5,-3,-1.025
1610612740,New Orleans Pelicans,82,33,49,0.402,110.7,112.0,-1.3,103.89,0.498,0.142,0.285,0.5629487980018733,0.32429501084598694,0.25379609544468545,-1.3,-1,-1.077
1610612752,New York Knicks,82,17,65,0.207,104.0,112.9,-8.9,100.16,0.442,0.14,0.264,0.5292665155440414,0.3340883352208381,0.2706681766704417,-9.2,-1,-8.85
