team_id,team_name,games_played,wins,losses,win_pct,off_rtg,def_rtg,net_rtg,pace,pie,tov_pct,oreb_pct,ts_pct,fg3_rate,ftr,point_diff,win_streak,srs
1610612737,Atlanta Hawks,67,20,47,0.299,107.0,114.4,-7.4,103.28,0.454,0.155,0.267,0.554035838883603,0.3984547461368654,0.2582781456953642,-8.0,-1,-7.649
1610612738,Boston Celtics,72,48,24,0.667,112.8,106.5,6.3,99.92,0.531,0.137,0.283,0.56959361974992,0.3850446428571429,0.25892857142857145,6.3,-1,5.831
1610612751,Brooklyn Nets,72,35,37,0.486,108.7,109.2,-0.5,101.7,0.5,0.148,0.28,0.5539919131055261,0.42192691029900337,0.2668881506090809,-0.6,-1,-1.01
1610612766,Charlotte Hornets,65,23,42,0.354,105.9,112.8,-7.0,96.24,0.455,0.15,0.28,0.5392855645465598,0.39930151338766,0.25145518044237486,-6.8,1,-7.034
1610612741,Chicago Bulls,65,22,43,0.338,105.8,108.9,-3.1,100.46,0.466,0.153,0.267,0.5470190534726491,0.39616252821670433,0.23137697516930025,-3.1,1,-4.003
1610612739,Cleveland Cavaliers,65,19,46,0.292,106.9,114.8,-7.9,99.17,0.453,0.165,0.296,0.5529920542956465,0.36177474402730375,0.22639362912400451,-7.9,-1,-7.776
1610612742,Dallas Mavericks,75,43,32,0.573,115.9,111.2,4.8,99.89,0.521,0.126,0.275,0.5805183979676894,0.4573643410852713,0.26356589147286824,4.9,-2,4.872
1610612743,Denver Nuggets,73,46,27,0.63,112.6,110.4,2.2,97.64,0.517,0.139,0.294,0.5673014190181047,0.344206974128234,0.23509561304836893,2.1,-3,2.351
1610612765,Detroit Pistons,66,20,46,0.303,108.8,112.3,-3.5,97.86,0.473,0.155,0.277,0.5609276235924484,0.3815635939323221,0.2613768961493582,-3.6,-5,-4.384
1610612744,Golden State Warriors,65,15,50,0.231,104.4,113.0,-8.6,101.04,0.462,0.146,0.255,0.5400983659865052,0.35487528344671204,0.26303854875283444,-8.7,-1,-8.119
1610612745,Houston Rockets,72,44,28,0.611,112.5,109.8,2.7,104.04,0.494,0.14,0.249,0.5781084370460523,0.5011061946902654,0.288716814159292,3.0,-3,3.13
1610612754,Indiana Pacers,73,45,28,0.616,109.5,107.5,1.9,99.41,0.52,0.132,0.243,0.5644761826137209,0.3163841807909605,0.21581920903954804,2.0,2,1.632
1610612746,LA Clippers,72,49,23,0.681,113.3,106.9,6.3,102.16,0.532,0.142,0.278,0.5770452109713015,0.3755605381165919,0.2948430493273543,6.4,2,6.655
1610612747,Los Angeles Lakers,71,52,19,0.732,111.7,106.1,5.6,101.2,0.539,0.149,0.283,0.5727735574591887,0.3578708946772367,0.27519818799547,5.8,-1,6.28
1610612763,Memphis Grizzlies,73,34,39,0.466,108.7,109.7,-1.0,103.31,0.507,0.147,0.271,0.5602436014807148,0.3465346534653465,0.23982398239823982,-1.1,1,-0.91
1610612748,Miami Heat,73,44,29,0.603,111.9,109.3,2.7,98.7,0.525,0.149,0.257,0.5864611260053619,0.419431279620853,0.2985781990521327,2.9,-2,2.591
1610612749,Milwaukee Bucks,73,56,17,0.767,111.9,102.5,9.4,105.51,0.562,0.142,0.241,0.5831892146843801,0.4279427942794279,0.2717271727172717,10.1,-1,9.408
