GAME_ID,GAME_DATE,TEAM_ID,TEAM_NAME,MATCHUP,WL,PTS,PLUS_MINUS
0041700404,2018-06-08,1610612739,Cleveland Cavaliers,CLE vs. GSW,L,85,-23.0
0041700404,2018-06-08,1610612744,Golden State Warriors,GSW @ CLE,W,108,23.0
0041700403,2018-06-06,1610612739,Cleveland Cavaliers,CLE vs. GSW,L,102,-8.0
0041700403,2018-06-06,1610612744,Golden State Warriors,GSW @ CLE,W,110,8.0
0041700402,2018-06-03,1610612744,Golden State Warriors,GSW vs. CLE,W,122,19.0
0041700402,2018-06-03,1610612739,Cleveland Cavaliers,CLE @ GSW,L,103,-19.0
0041700401,2018-05-31,1610612739,Cleveland Cavaliers,CLE @ GSW,L,114,-10.0
0041700401,2018-05-31,1610612744,Golden State Warriors,GSW vs. CLE,W,124,10.0
0041700317,2018-05-28,1610612744,Golden State Warriors,GSW @ HOU,W,101,9.0
0041700317,2018-05-28,1610612745,Houston Rockets,HOU vs. GSW,L,92,-9.0
0041700307,2018-05-27,1610612738,Boston Celtics,BOS vs. CLE,L,79,-8.0
0041700307,2018-05-27,1610612739,Cleveland Cavaliers,CLE @ BOS,W,87,8.0
0041700316,2018-05-26,1610612744,Golden State Warriors,GSW vs. HOU,W,115,29.0
0041700316,2018-05-26,1610612745,Houston Rockets,HOU @ GSW,L,86,-29.0
0041700306,2018-05-25,1610612738,Boston Celtics,BOS @ CLE,L,99,-10.0
0041700306,2018-05-25,1610612739,Cleveland Cavaliers,CLE vs. BOS,W,109,10.0
0041700315,2018-05-24,1610612744,Golden State Warriors,GSW @ HOU,L,94,-4.0
0041700315,2018-05-24,1610612745,Houston Rockets,HOU vs. GSW,W,98,4.0
0041700305,2018-05-23,1610612738,Boston Celtics,BOS vs. CLE,W,96,13.0
0041700305,2018-05-23,1610612739,Cleveland Cavaliers,CLE @ BOS,L,83,-13.0
0041700314,2018-05-22,1610612744,Golden State Warriors,GSW vs. HOU,L,92,-3.0
0041700314,2018-05-22,1610612745,Houston Rockets,HOU @ GSW,W,95,3.0
0041700304,2018-05-21,1610612739,Cleveland Cavaliers,CLE vs. BOS,W,111,9.0
0041700304,2018-05-21,1610612738,Boston Celtics,BOS @ CLE,L,102,-9.0
0041700313,2018-05-20,1610612745,Houston Rockets,HOU @ GSW,L,85,-41.0
0041700313,2018-05-20,1610612744,Golden State Warriors,GSW vs. HOU,W,126,41.0
0041700303,2018-05-19,1610612739,Cleveland Cavaliers,CLE vs. BOS,W,116,30.0
0041700303,2018-05-19,1610612738,Boston Celtics,BOS @ CLE,L,86,-30.0
0041700312,2018-05-16,1610612744,Golden State Warriors,GSW @ HOU,L,105,-22.0
0041700312,2018-05-16,1610612745,Houston Rockets,HOU vs. GSW,W,127,22.0
0041700302,2018-05-15,1610612738,Boston Celtics,BOS vs. CLE,W,107,13.0
0041700302,2018-05-15,1610612739,Cleveland Cavaliers,CLE @ BOS,L,94,-13.0
0041700311,2018-05-14,1610612745,Houston Rockets,HOU vs. GSW,L,106,-13.0
0041700311,2018-05-14,1610612744,Golden State Warriors,GSW @ HOU,W,119,13.0
0041700301,2018-05-13,1610612739,Cleveland Cavaliers,CLE @ BOS,L,83,-25.0
0041700301,2018-05-13,1610612738,Boston Celtics,BOS vs. CLE,W,108,25.0
0041700215,2018-05-09,1610612738,Boston Celtics,BOS vs. PHI,W,114,6.0
0041700215,2018-05-09,1610612755,Philadelphia 76ers,PHI @ BOS,L,112,-2.0
0041700225,2018-05-08,1610612745,Houston Rockets,HOU vs. UTA,W,112,10.0
0041700235,2018-05-08,1610612740,New Orleans Pelicans,NOP @ GSW,L,104,-9.0
0041700225,2018-05-08,1610612762,Utah Jazz,UTA @ HOU,L,102,-10.0
0041700235,2018-05-08,1610612744,Golden State Warriors,GSW vs. NOP,W,113,9.0
0041700204,2018-05-07,1610612761,Toronto Raptors,TOR @ CLE,L,93,-35.0
0041700204,2018-05-07,1610612739,Cleveland Cavaliers,CLE vs. TOR,W,128,35.0
0041700214,2018-05-07,1610612755,Philadelphia 76ers,PHI vs. BOS,W,103,11.0
0041700214,2018-05-07,1610612738,Boston Celtics,BOS @ PHI,L,92,-11.0
0041700234,2018-05-06,1610612740,New Orleans Pelicans,NOP vs. GSW,L,92,-26.0
0041700234,2018-05-06,1610612744,Golden State Warriors,GSW @ NOP,W,118,26.0
0041700224,2018-05-06,1610612745,Houston Rockets,HOU @ UTA,W,100,13.0
0041700224,2018-05-06,1610612762,Utah Jazz,UTA vs. HOU,L,87,-13.0
0041700203,2018-05-05,1610612739,Cleveland Cavaliers,CLE vs. TOR,W,105,2.0
0041700213,2018-05-05,1610612738,Boston Celtics,BOS @ PHI,W,101,3.0
0041700203,2018-05-05,1610612761,Toronto Raptors,TOR @ CLE,L,103,-2.0
0041700213,2018-05-05,1610612755,Philadelphia 76ers,PHI vs. BOS,L,98,-3.0
0041700223,2018-05-04,1610612745,Houston Rockets,HOU @ UTA,W,113,21.0
0041700233,2018-05-04,1610612744,Golden State Warriors,GSW @ NOP,L,100,-19.0
0041700223,2018-05-04,1610612762,Utah Jazz,UTA vs. HOU,L,92,-21.0
0041700233,2018-05-04,1610612740,New Orleans Pelicans,NOP vs. GSW,W,119,19.0
0041700202,2018-05-03,1610612761,Toronto Raptors,TOR vs. CLE,L,110,-18.0
0041700202,2018-05-03,1610612739,Cleveland Cavaliers,CLE @ TOR,W,128,18.0
0041700212,2018-05-03,1610612738,Boston Celtics,BOS vs. PHI,W,108,5.0
0041700212,2018-05-03,1610612755,Philadelphia 76ers,PHI @ BOS,L,103,-5.0
0041700222,2018-05-02,1610612745,Houston Rockets,HOU vs. UTA,L,108,-8.0
0041700222,2018-05-02,1610612762,Utah Jazz,UTA @ HOU,W,116,8.0
0041700201,2018-05-01,1610612761,Toronto Raptors,TOR vs. CLE,L,112,-1.0
0041700201,2018-05-01,1610612739,Cleveland Cavaliers,CLE @ TOR,W,113,1.0
0041700232,2018-05-01,1610612744,Golden State Warriors,GSW vs. NOP,W,121,5.0
0041700232,2018-05-01,1610612740,New Orleans Pelicans,NOP @ GSW,L,116,-5.0
0041700211,2018-04-30,1610612738,Boston Celtics,BOS vs. PHI,W,117,16.0
0041700211,2018-04-30,1610612755,Philadelphia 76ers,PHI @ BOS,L,101,-16.0
0041700137,2018-04-29,1610612739,Cleveland Cavaliers,CLE vs. IND,W,105,4.0
0041700137,2018-04-29,1610612754,Indiana Pacers,IND @ CLE,L,101,-4.0
0041700221,2018-04-29,1610612762,Utah Jazz,UTA @ HOU,L,96,-14.0
