team_id,team_name,games_played,wins,losses,win_pct,off_rtg,def_rtg,net_rtg,pace,pie,tov_pct,oreb_pct,ts_pct,fg3_rate,ftr,point_diff,win_streak,srs
1610612737,Atlanta Hawks,82,40,42,0.488,113.7,114.8,-1.1,103.41,0.498,0.149,0.3,0.5793663242098659,0.4106753812636166,0.25272331154684097,-1.1,3,-1.412
1610612738,Boston Celtics,82,61,21,0.744,119.5,110.1,9.4,96.59,0.542,0.122,0.291,0.5909312629567903,0.5355555555555556,0.21222222222222223,9.1,2,8.283
1610612751,Brooklyn Nets,82,26,56,0.317,108.1,115.4,-7.3,96.73,0.452,0.156,0.294,0.5519494160154609,0.45760743321718933,0.24041811846689895,-7.1,-3,-6.95
1610612766,Charlotte Hornets,82,19,63,0.232,106.7,115.7,-9.1,98.22,0.45,0.157,0.308,0.5372551425183004,0.4298540965207632,0.22222222222222224,-9.1,-7,-9.104
1610612741,Chicago Bulls,82,39,43,0.476,113.2,114.8,-1.6,103.61,0.495,0.141,0.26,0.5850915881908848,0.45652173913043476,0.21413043478260868,-1.6,3,-1.826
1610612739,Cleveland Cavaliers,82,64,18,0.78,121.0,111.8,9.2,100.31,0.546,0.131,0.296,0.6068541160540046,0.45704845814977973,0.24118942731277532,9.5,-1,8.806
1610612742,Dallas Mavericks,82,39,43,0.476,113.7,115.0,-1.3,100.15,0.496,0.14,0.271,0.5834627646529879,0.3899657924743444,0.2633979475484607,-1.2,-1,-0.741
1610612743,Denver Nuggets,82,50,32,0.61,118.9,115.1,3.8,100.67,0.529,0.14,0.311,0.6036860832367169,0.35523385300668153,0.2594654788418708,3.9,3,3.967
1610612765,Detroit Pistons,82,44,38,0.537,114.6,112.5,2.1,100.27,0.509,0.147,0.305,0.5797494277797856,0.39420935412026725,0.24832962138084633,1.9,-2,1.734
1610612744,Golden State Warriors,82,48,34,0.585,114.2,111.0,3.2,99.37,0.515,0.141,0.314,0.5682953138108745,0.4690265486725663,0.24446902654867256,3.3,-1,3.557
1610612745,Houston Rockets,82,52,30,0.634,114.9,110.3,4.6,99.03,0.515,0.14,0.363,0.5530074314909428,0.3832976445396145,0.24197002141327623,4.5,-3,4.965
