team_id,team_name,games_played,wins,losses,win_pct,off_rtg,def_rtg,net_rtg,pace,pie
1610612737,Atlanta Hawks,72,41,31,0.569,114.3,112.1,2.2,98.68,0.511
1610612738,Boston Celtics,72,36,36,0.5,113.1,111.8,1.2,98.94,0.501
1610612751,Brooklyn Nets,72,48,24,0.667,117.3,113.1,4.2,100.27,0.532
1610612766,Charlotte Hornets,72,33,39,0.458,110.1,112.0,-1.9,99.0,0.489
1610612741,Chicago Bulls,72,31,41,0.431,110.4,111.5,-1.1,99.58,0.499
1610612739,Cleveland Cavaliers,72,22,50,0.306,105.2,113.5,-8.3,97.96,0.46
1610612742,Dallas Mavericks,72,42,30,0.583,114.6,112.3,2.3,97.94,0.51
1610612743,Denver Nuggets,72,47,25,0.653,116.3,111.5,4.8,97.74,0.525
1610612765,Detroit Pistons,72,20,52,0.278,107.6,112.2,-4.5,98.19,0.473
1610612744,Golden State Warriors,72,39,33,0.542,110.5,109.4,1.1,102.81,0.51
1610612745,Houston Rockets,72,17,55,0.236,107.0,114.4,-7.4,101.69,0.451
1610612754,Indiana Pacers,72,34,38,0.472,111.9,111.9,0.1,102.05,0.502
1610612746,LA Clippers,72,47,25,0.653,116.7,110.6,6.1,97.63,0.53
1610612747,Los Angeles Lakers,72,42,30,0.583,109.8,106.8,2.9,98.85,0.517
1610612763,Memphis Grizzlies,72,38,34,0.528,111.7,110.5,1.2,100.77,0.511
1610612748,Miami Heat,72,40,32,0.556,110.6,110.7,-0.1,97.09,0.509
1610612749,Milwaukee Bucks,72,46,26,0.639,116.5,110.7,5.8,102.85,0.533
1610612750,Minnesota Timberwolves,72,23,49,0.319,109.3,114.5,-5.3,101.96,0.469
1610612740,New Orleans Pelicans,72,31,41,0.431,113.0,113.3,-0.3,100.54,0.508
1610612752,New York Knicks,72,41,31,0.569,110.2,107.8,2.4,96.32,0.502
1610612760,Oklahoma City Thunder,72,22,50,0.306,102.8,113.4,-10.6,101.61,0.442
1610612753,Orlando Magic,72,21,51,0.292,104.6,113.9,-9.3,99.17,0.45
1610612755,Philadelphia 76ers,72,49,23,0.681,112.5,107.0,5.5,100.12,0.536
1610612756,Phoenix Suns,72,51,21,0.708,116.3,110.4,5.9,98.0,0.534
1610612757,Portland Trail Blazers,72,42,30,0.583,117.1,115.3,1.8,98.97,0.493
1610612758,Sacramento Kings,72,31,41,0.431,112.7,116.5,-3.8,100.71,0.481
1610612759,San Antonio Spurs,72,33,39,0.458,110.5,112.0,-1.5,99.45,0.493
1610612761,Toronto Raptors,72,27,45,0.375,111.6,112.0,-0.4,99.57,0.486
1610612762,Utah Jazz,72,52,20,0.722,116.5,107.5,9.0,99.37,0.542
1610612764,Washington Wizards,72,34,38,0.472,110.7,112.3,-1.6,104.67,0.496
