GAME_ID,GAME_DATE,TEAM_ID,TEAM_NAME,MATCHUP,WL,PTS,PLUS_MINUS
0041800406,2019-06-13,1610612761,Toronto Raptors,TOR @ GSW,W,114,4.0
0041800406,2019-06-13,1610612744,Golden State Warriors,GSW vs. TOR,L,110,-4.0
0041800405,2019-06-10,1610612761,Toronto Raptors,TOR vs. GSW,L,105,-1.0
0041800405,2019-06-10,1610612744,Golden State Warriors,GSW @ TOR,W,106,1.0
0041800404,2019-06-07,1610612744,Golden State Warriors,GSW vs. TOR,L,92,-13.0
0041800404,2019-06-07,1610612761,Toronto Raptors,TOR @ GSW,W,105,13.0
0041800403,2019-06-05,1610612744,Golden State Warriors,GSW vs. TOR,L,109,-14.0
0041800403,2019-06-05,1610612761,Toronto Raptors,TOR @ GSW,W,123,14.0
0041800402,2019-06-02,1610612744,Golden State Warriors,GSW @ TOR,W,109,5.0
0041800402,2019-06-02,1610612761,Toronto Raptors,TOR vs. GSW,L,104,-5.0
0041800401,2019-05-30,1610612761,Toronto Raptors,TOR vs. GSW,W,118,9.0
0041800401,2019-05-30,1610612744,Golden State Warriors,GSW @ TOR,L,109,-9.0
0041800306,2019-05-25,1610612761,Toronto Raptors,TOR vs. MIL,W,100,6.0
0041800306,2019-05-25,1610612749,Milwaukee Bucks,MIL @ TOR,L,94,-6.0
0041800305,2019-05-23,1610612749,Milwaukee Bucks,MIL vs. TOR,L,99,-6.0
0041800305,2019-05-23,1610612761,Toronto Raptors,TOR @ MIL,W,105,6.0
0041800304,2019-05-21,1610612749,Milwaukee Bucks,MIL @ TOR,L,102,-18.0
0041800304,2019-05-21,1610612761,Toronto Raptors,TOR vs. MIL,W,120,18.0
0041800314,2019-05-20,1610612744,Golden State Warriors,GSW @ POR,W,119,2.0
0041800314,2019-05-20,1610612757,Portland Trail Blazers,POR vs. GSW,L,117,-2.0
0041800303,2019-05-19,1610612761,Toronto Raptors,TOR vs. MIL,W,118,6.0
0041800303,2019-05-19,1610612749,Milwaukee Bucks,MIL @ TOR,L,112,-6.0
0041800313,2019-05-18,1610612757,Portland Trail Blazers,POR vs. GSW,L,99,-11.0
0041800313,2019-05-18,1610612744,Golden State Warriors,GSW @ POR,W,110,11.0
0041800302,2019-05-17,1610612761,Toronto Raptors,TOR @ MIL,L,103,-22.0
0041800302,2019-05-17,1610612749,Milwaukee Bucks,MIL vs. TOR,W,125,22.0
0041800312,2019-05-16,1610612744,Golden State Warriors,GSW vs. POR,W,114,3.0
0041800312,2019-05-16,1610612757,Portland Trail Blazers,POR @ GSW,L,111,-3.0
0041800301,2019-05-15,1610612749,Milwaukee Bucks,MIL vs. TOR,W,108,8.0
