GAME_ID,GAME_DATE,TEAM_ID,TEAM_NAME,MATCHUP,WL,PTS,PLUS_MINUS
0041900406,2020-10-11,1610612748,Miami Heat,MIA vs. LAL,L,93,-13.0
0041900406,2020-10-11,1610612747,Los Angeles Lakers,LAL @ MIA,W,106,13.0
0041900405,2020-10-09,1610612747,Los Angeles Lakers,LAL vs. MIA,L,108,-3.0
0041900405,2020-10-09,1610612748,Miami Heat,MIA @ LAL,W,111,3.0
0041900404,2020-10-06,1610612747,Los Angeles Lakers,LAL @ MIA,W,102,6.0
0041900404,2020-10-06,1610612748,Miami Heat,MIA vs. LAL,L,96,-6.0
0041900403,2020-10-04,1610612747,Los Angeles Lakers,LAL @ MIA,L,104,-11.0
0041900403,2020-10-04,1610612748,Miami Heat,MIA vs. LAL,W,115,11.0
0041900402,2020-10-02,1610612747,Los Angeles Lakers,LAL vs. MIA,W,124,10.0
0041900402,2020-10-02,1610612748,Miami Heat,MIA @ LAL,L,114,-10.0
0041900401,2020-09-30,1610612747,Los Angeles Lakers,LAL vs. MIA,W,116,18.0
0041900401,2020-09-30,1610612748,Miami Heat,MIA @ LAL,L,98,-18.0
0041900306,2020-09-27,1610612738,Boston Celtics,BOS @ MIA,L,113,-12.0
0041900306,2020-09-27,1610612748,Miami Heat,MIA vs. BOS,W,125,12.0
0041900315,2020-09-26,1610612747,Los Angeles Lakers,LAL vs. DEN,W,117,10.0
0041900315,2020-09-26,1610612743,Denver Nuggets,DEN @ LAL,L,107,-10.0
0041900305,2020-09-25,1610612738,Boston Celtics,BOS vs. MIA,W,121,13.0
0041900305,2020-09-25,1610612748,Miami Heat,MIA @ BOS,L,108,-13.0
0041900314,2020-09-24,1610612747,Los Angeles Lakers,LAL @ DEN,W,114,6.0
0041900314,2020-09-24,1610612743,Denver Nuggets,DEN vs. LAL,L,108,-6.0
0041900304,2020-09-23,1610612738,Boston Celtics,BOS @ MIA,L,109,-3.0
0041900304,2020-09-23,1610612748,Miami Heat,MIA vs. BOS,W,112,3.0
0041900313,2020-09-22,1610612747,Los Angeles Lakers,LAL @ DEN,L,106,-8.0
0041900313,2020-09-22,1610612743,Denver Nuggets,DEN vs. LAL,W,114,8.0
0041900312,2020-09-20,1610612743,Denver Nuggets,DEN @ LAL,L,103,-2.0
0041900312,2020-09-20,1610612747,Los Angeles Lakers,LAL vs. DEN,W,105,2.0
0041900303,2020-09-19,1610612738,Boston Celtics,BOS @ MIA,W,117,11.0
0041900303,2020-09-19,1610612748,Miami Heat,MIA vs. BOS,L,106,-11.0
0041900311,2020-09-18,1610612743,Denver Nuggets,DEN @ LAL,L,114,-12.0
0041900311,2020-09-18,1610612747,Los Angeles Lakers,LAL vs. DEN,W,126,12.0
0041900302,2020-09-17,1610612738,Boston Celtics,BOS vs. MIA,L,101,-5.0
0041900302,2020-09-17,1610612748,Miami Heat,MIA @ BOS,W,106,5.0
0041900237,2020-09-15,1610612746,LA Clippers,LAC vs. DEN,L,89,-15.0
0041900301,2020-09-15,1610612748,Miami Heat,MIA @ BOS,W,117,3.0
0041900301,2020-09-15,1610612738,Boston Celtics,BOS vs. MIA,L,114,-3.2
0041900237,2020-09-15,1610612743,Denver Nuggets,DEN @ LAC,W,104,15.0
0041900236,2020-09-13,1610612743,Denver Nuggets,DEN vs. LAC,W,111,13.0
0041900236,2020-09-13,1610612746,LA Clippers,LAC @ DEN,L,98,-13.0
0041900225,2020-09-12,1610612745,Houston Rockets,HOU @ LAL,L,96,-23.0
0041900225,2020-09-12,1610612747,Los Angeles Lakers,LAL vs. HOU,W,119,23.0
0041900217,2020-09-11,1610612738,Boston Celtics,BOS @ TOR,W,92,5.0
0041900235,2020-09-11,1610612743,Denver Nuggets,DEN @ LAC,W,111,6.0
0041900235,2020-09-11,1610612746,LA Clippers,LAC vs. DEN,L,105,-6.0
0041900217,2020-09-11,1610612761,Toronto Raptors,TOR vs. BOS,L,87,-5.0
0041900224,2020-09-10,1610612747,Los Angeles Lakers,LAL @ HOU,W,110,10.0
0041900224,2020-09-10,1610612745,Houston Rockets,HOU vs. LAL,L,100,-10.0
0041900216,2020-09-09,1610612738,Boston Celtics,BOS vs. TOR,L,122,-3.0
0041900234,2020-09-09,1610612746,LA Clippers,LAC @ DEN,W,96,11.0
0041900234,2020-09-09,1610612743,Denver Nuggets,DEN vs. LAC,L,85,-11.0
0041900216,2020-09-09,1610612761,Toronto Raptors,TOR @ BOS,W,125,3.0
0041900205,2020-09-08,1610612748,Miami Heat,MIA @ MIL,W,103,9.0
0041900223,2020-09-08,1610612745,Houston Rockets,HOU vs. LAL,L,102,-10.0
0041900223,2020-09-08,1610612747,Los Angeles Lakers,LAL @ HOU,W,112,10.0
0041900205,2020-09-08,1610612749,Milwaukee Bucks,MIL vs. MIA,L,94,-9.0
0041900215,2020-09-07,1610612761,Toronto Raptors,TOR vs. BOS,L,89,-22.0
0041900233,2020-09-07,1610612743,Denver Nuggets,DEN vs. LAC,L,107,-6.0
0041900215,2020-09-07,1610612738,Boston Celtics,BOS @ TOR,W,111,22.0
0041900233,2020-09-07,1610612746,LA Clippers,LAC @ DEN,W,113,6.0
0041900204,2020-09-06,1610612748,Miami Heat,MIA vs. MIL,L,115,-3.0
0041900222,2020-09-06,1610612745,Houston Rockets,HOU @ LAL,L,109,-8.0
0041900204,2020-09-06,1610612749,Milwaukee Bucks,MIL @ MIA,W,118,3.0
0041900222,2020-09-06,1610612747,Los Angeles Lakers,LAL vs. HOU,W,117,8.0
0041900232,2020-09-05,1610612743,Denver Nuggets,DEN @ LAC,W,110,9.0
0041900214,2020-09-05,1610612738,Boston Celtics,BOS vs. TOR,L,93,-7.0
0041900214,2020-09-05,1610612761,Toronto Raptors,TOR @ BOS,W,100,7.0
0041900232,2020-09-05,1610612746,LA Clippers,LAC vs. DEN,L,101,-9.0
0041900203,2020-09-04,1610612748,Miami Heat,MIA vs. MIL,W,115,15.0
0041900203,2020-09-04,1610612749,Milwaukee Bucks,MIL @ MIA,L,100,-15.0
0041900221,2020-09-04,1610612745,Houston Rockets,HOU @ LAL,W,112,15.0
0041900221,2020-09-04,1610612747,Los Angeles Lakers,LAL vs. HOU,L,97,-15.0
0041900213,2020-09-03,1610612738,Boston Celtics,BOS vs. TOR,L,103,-1.0
0041900213,2020-09-03,1610612761,Toronto Raptors,TOR @ BOS,W,104,1.0
0041900231,2020-09-03,1610612743,Denver Nuggets,DEN @ LAC,L,97,-23.0
0041900231,2020-09-03,1610612746,LA Clippers,LAC vs. DEN,W,120,23.0
0041900177,2020-09-02,1610612745,Houston Rockets,HOU vs. OKC,W,104,2.0
0041900202,2020-09-02,1610612749,Milwaukee Bucks,MIL vs. MIA,L,114,-2.0
0041900177,2020-09-02,1610612760,Oklahoma City Thunder,OKC @ HOU,L,102,-2.0
0041900202,2020-09-02,1610612748,Miami Heat,MIA @ MIL,W,116,2.0
0041900212,2020-09-01,1610612738,Boston Celtics,BOS @ TOR,W,102,3.0
0041900167,2020-09-01,1610612762,Utah Jazz,UTA @ DEN,L,78,-2.0
0041900212,2020-09-01,1610612761,Toronto Raptors,TOR vs. BOS,L,99,-3.0
0041900167,2020-09-01,1610612743,Denver Nuggets,DEN vs. UTA,W,80,2.0
0041900176,2020-08-31,1610612760,Oklahoma City Thunder,OKC vs. HOU,W,104,4.0
0041900201,2020-08-31,1610612749,Milwaukee Bucks,MIL vs. MIA,L,104,-11.0
0041900201,2020-08-31,1610612748,Miami Heat,MIA @ MIL,W,115,11.0
0041900176,2020-08-31,1610612745,Houston Rockets,HOU @ OKC,L,100,-4.0
0041900156,2020-08-30,1610612742,Dallas Mavericks,DAL vs. LAC,L,97,-14.0
0041900211,2020-08-30,1610612761,Toronto Raptors,TOR vs. BOS,L,94,-18.0
0041900156,2020-08-30,1610612746,LA Clippers,LAC @ DAL,W,111,14.0
0041900166,2020-08-30,1610612762,Utah Jazz,UTA vs. DEN,L,107,-12.0
0041900166,2020-08-30,1610612743,Denver Nuggets,DEN @ UTA,W,119,12.0
0041900211,2020-08-30,1610612738,Boston Celtics,BOS @ TOR,W,112,18.0
0041900105,2020-08-29,1610612749,Milwaukee Bucks,MIL vs. ORL,W,118,14.0
0041900175,2020-08-29,1610612760,Oklahoma City Thunder,OKC @ HOU,L,80,-34.0
0041900175,2020-08-29,1610612745,Houston Rockets,HOU vs. OKC,W,114,33.8
0041900145,2020-08-29,1610612747,Los Angeles Lakers,LAL vs. POR,W,131,9.0
0041900105,2020-08-29,1610612753,Orlando Magic,ORL @ MIL,L,104,-14.0
0041900145,2020-08-29,1610612757,Portland Trail Blazers,POR @ LAL,L,122,-9.0
0041900155,2020-08-25,1610612746,LA Clippers,LAC vs. DAL,W,154,43.0
0041900165,2020-08-25,1610612743,Denver Nuggets,DEN vs. UTA,W,117,10.0
0041900165,2020-08-25,1610612762,Utah Jazz,UTA @ DEN,L,107,-10.0
0041900155,2020-08-25,1610612742,Dallas Mavericks,DAL @ LAC,L,111,-43.0
0041900134,2020-08-24,1610612754,Indiana Pacers,IND @ MIA,L,87,-12.0
0041900144,2020-08-24,1610612757,Portland Trail Blazers,POR vs. LAL,L,115,-20.0
0041900174,2020-08-24,1610612760,Oklahoma City Thunder,OKC vs. HOU,W,117,3.0
0041900144,2020-08-24,1610612747,Los Angeles Lakers,LAL @ POR,W,135,20.0
