team_id,team_name,games_played,wins,losses,win_pct,off_rtg,def_rtg,net_rtg,pace,pie,tov_pct,oreb_pct,ts_pct,fg3_rate,ftr,point_diff,win_streak,srs
1610612737,Atlanta Hawks,82,43,39,0.524,104.5,105.2,-0.7,97.76,0.506,0.16,0.282,0.5411300809597718,0.30924170616113744,0.2950236966824644,-0.9,-1,-1.225
1610612738,Boston Celtics,82,53,29,0.646,110.6,108.0,2.6,97.21,0.514,0.136,0.259,0.5665841272505981,0.39247943595769685,0.27262044653349005,2.6,3,2.25
1610612751,Brooklyn Nets,82,20,62,0.244,103.6,110.1,-6.5,101.75,0.46,0.162,0.241,0.5509039406814963,0.37089201877934275,0.2887323943661972,-6.7,-2,-6.734
1610612766,Charlotte Hornets,82,36,46,0.439,108.4,108.4,0.0,95.92,0.505,0.119,0.247,0.547083611481976,0.33489461358313816,0.2786885245901639,0.2,-5,-0.062
1610612741,Chicago Bulls,82,41,41,0.5,106.5,106.2,0.3,96.02,0.504,0.14,0.311,0.5304123711340206,0.25602755453501724,0.2583237657864524,0.4,2,0.036
1610612739,Cleveland Cavaliers,82,51,31,0.622,112.8,109.7,3.1,96.74,0.51,0.14,0.264,0.5795989574575416,0.3992932862190812,0.2744405182567727,3.2,-4,2.877
1610612742,Dallas Mavericks,82,33,49,0.402,104.7,107.7,-3.0,93.11,0.479,0.127,0.216,0.5412428129146396,0.3669501822600243,0.22478736330498178,-2.9,1,-2.523
1610612743,Denver Nuggets,82,40,42,0.488,112.2,111.7,0.4,99.18,0.503,0.15,0.314,0.5678814007402286,0.32839224629418473,0.2759407069555302,0.5,2,0.702
1610612765,Detroit Pistons,82,37,45,0.451,105.3,106.7,-1.4,95.52,0.482,0.123,0.286,0.5205977881017966,0.2635135135135135,0.21734234234234237,-1.1,-2,-1.291
1610612744,Golden State Warriors,82,67,15,0.817,114.8,103.4,11.4,100.37,0.579,0.146,0.272,0.5971518074275587,0.35820895522388063,0.25947187141216993,11.6,1,11.351
1610612745,Houston Rockets,82,55,27,0.671,114.1,108.4,5.7,100.55,0.516,0.15,0.281,0.5831478858992515,0.46215596330275227,0.3038990825688073,5.8,1,5.845
1610612754,Indiana Pacers,82,42,40,0.512,107.9,108.1,-0.2,96.59,0.505,0.141,0.255,0.5577135337069111,0.27218934911242604,0.26153846153846155,-0.2,5,-0.635
1610612746,LA Clippers,82,51,31,0.622,111.8,107.5,4.4,96.77,0.527,0.133,0.256,0.5742814877430262,0.3293269230769231,0.3125,4.3,7,4.421
1610612747,Los Angeles Lakers,82,26,56,0.317,105.3,112.0,-6.7,99.26,0.446,0.153,0.284,0.5372698882314266,0.2940503432494279,0.2585812356979405,-6.9,-1,-6.292
1610612763,Memphis Grizzlies,82,43,39,0.524,107.0,106.5,0.5,92.84,0.501,0.137,0.295,0.5351665672659113,0.31698564593301437,0.2799043062200957,0.5,-2,0.959
