GAME_ID,GAME_DATE,TEAM_ID,TEAM_NAME,MATCHUP,WL,PTS
0041600405,2017-06-12,1610612744,Golden State Warriors,GSW vs. CLE,W,129
0041600405,2017-06-12,1610612739,Cleveland Cavaliers,CLE @ GSW,L,120
0041600404,2017-06-09,1610612744,Golden State Warriors,GSW @ CLE,L,116
0041600404,2017-06-09,1610612739,Cleveland Cavaliers,CLE vs. GSW,W,137
0041600403,2017-06-07,1610612739,Cleveland Cavaliers,CLE vs. GSW,L,113
0041600403,2017-06-07,1610612744,Golden State Warriors,GSW @ CLE,W,118
0041600402,2017-06-04,1610612744,Golden State Warriors,GSW vs. CLE,W,132
0041600402,2017-06-04,1610612739,Cleveland Cavaliers,CLE @ GSW,L,113
0041600401,2017-06-01,1610612739,Cleveland Cavaliers,CLE @ GSW,L,91
0041600401,2017-06-01,1610612744,Golden State Warriors,GSW vs. CLE,W,113
0041600305,2017-05-25,1610612739,Cleveland Cavaliers,CLE @ BOS,W,135
0041600305,2017-05-25,1610612738,Boston Celtics,BOS vs. CLE,L,102
0041600304,2017-05-23,1610612739,Cleveland Cavaliers,CLE vs. BOS,W,112
0041600304,2017-05-23,1610612738,Boston Celtics,BOS @ CLE,L,99
0041600314,2017-05-22,1610612759,San Antonio Spurs,SAS vs. GSW,L,115
0041600314,2017-05-22,1610612744,Golden State Warriors,GSW @ SAS,W,129
0041600303,2017-05-21,1610612739,Cleveland Cavaliers,CLE vs. BOS,L,108
0041600303,2017-05-21,1610612738,Boston Celtics,BOS @ CLE,W,111
0041600313,2017-05-20,1610612759,San Antonio Spurs,SAS vs. GSW,L,108
0041600313,2017-05-20,1610612744,Golden State Warriors,GSW @ SAS,W,120
0041600302,2017-05-19,1610612739,Cleveland Cavaliers,CLE @ BOS,W,130
0041600302,2017-05-19,1610612738,Boston Celtics,BOS vs. CLE,L,86
0041600301,2017-05-17,1610612738,Boston Celtics,BOS vs. CLE,L,104
0041600301,2017-05-17,1610612739,Cleveland Cavaliers,CLE @ BOS,W,117
0041600312,2017-05-16,1610612744,Golden State Warriors,GSW vs. SAS,W,136
0041600312,2017-05-16,1610612759,San Antonio Spurs,SAS @ GSW,L,100
0041600207,2017-05-15,1610612738,Boston Celtics,BOS vs. WAS,W,115
0041600207,2017-05-15,1610612764,Washington Wizards,WAS @ BOS,L,105
0041600311,2017-05-14,1610612744,Golden State Warriors,GSW vs. SAS,W,113
0041600311,2017-05-14,1610612759,San Antonio Spurs,SAS @ GSW,L,111
0041600206,2017-05-12,1610612764,Washington Wizards,WAS vs. BOS,W,92
0041600206,2017-05-12,1610612738,Boston Celtics,BOS @ WAS,L,91
0041600236,2017-05-11,1610612745,Houston Rockets,HOU vs. SAS,L,75
0041600236,2017-05-11,1610612759,San Antonio Spurs,SAS @ HOU,W,114
0041600205,2017-05-10,1610612764,Washington Wizards,WAS @ BOS,L,101
0041600205,2017-05-10,1610612738,Boston Celtics,BOS vs. WAS,W,123
0041600235,2017-05-09,1610612759,San Antonio Spurs,SAS vs. HOU,W,110
0041600235,2017-05-09,1610612745,Houston Rockets,HOU @ SAS,L,107
0041600224,2017-05-08,1610612762,Utah Jazz,UTA vs. GSW,L,95
0041600224,2017-05-08,1610612744,Golden State Warriors,GSW @ UTA,W,121
0041600204,2017-05-07,1610612738,Boston Celtics,BOS @ WAS,L,102
0041600204,2017-05-07,1610612764,Washington Wizards,WAS vs. BOS,W,121
0041600214,2017-05-07,1610612739,Cleveland Cavaliers,CLE @ TOR,W,109
0041600214,2017-05-07,1610612761,Toronto Raptors,TOR vs. CLE,L,102
0041600234,2017-05-07,1610612759,San Antonio Spurs,SAS @ HOU,L,104
0041600234,2017-05-07,1610612745,Houston Rockets,HOU vs. SAS,W,125
0041600223,2017-05-06,1610612744,Golden State Warriors,GSW @ UTA,W,102
0041600223,2017-05-06,1610612762,Utah Jazz,UTA vs. GSW,L,91
0041600213,2017-05-05,1610612761,Toronto Raptors,TOR vs. CLE,L,94
0041600233,2017-05-05,1610612745,Houston Rockets,HOU vs. SAS,L,92
0041600233,2017-05-05,1610612759,San Antonio Spurs,SAS @ HOU,W,103
0041600213,2017-05-05,1610612739,Cleveland Cavaliers,CLE @ TOR,W,115
0041600203,2017-05-04,1610612738,Boston Celtics,BOS @ WAS,L,89
