team_id,team_name,games_played,wins,losses,win_pct,off_rtg,def_rtg,net_rtg,pace,pie,tov_pct,oreb_pct,ts_pct,fg3_rate,ftr,point_diff,win_streak,srs
1610612737,Atlanta Hawks,82,48,34,0.585,104.6,100.8,3.9,97.63,0.528,0.152,0.234,0.5515021459227467,0.33649289099526064,0.23696682464454974,3.6,-2,3.525
1610612738,Boston Celtics,82,48,34,0.585,105.8,102.5,3.3,99.43,0.52,0.138,0.29,0.5309423347398031,0.29260089686098656,0.26345291479820626,3.2,1,2.871
1610612751,Brooklyn Nets,82,21,61,0.256,102.4,109.7,-7.4,96.12,0.46,0.153,0.279,0.5272276168883945,0.21800947867298576,0.24526066350710898,-7.4,-10,-7.103
1610612766,Charlotte Hornets,82,48,34,0.585,106.4,103.7,2.7,96.24,0.511,0.129,0.244,0.5451976209558358,0.3483412322274881,0.28080568720379145,2.7,2,2.393
1610612741,Chicago Bulls,82,42,40,0.512,104.1,105.5,-1.4,96.6,0.494,0.142,0.29,0.5256622516556291,0.24485125858123566,0.24027459954233407,-1.5,3,-1.428
1610612739,Cleveland Cavaliers,82,57,25,0.695,110.2,103.9,6.3,93.82,0.528,0.143,0.294,0.557467824004789,0.3523809523809524,0.2583333333333333,6.0,-1,5.486
1610612742,Dallas Mavericks,82,42,40,0.512,105.5,105.9,-0.4,95.34,0.503,0.132,0.241,0.5446588295425505,0.3400713436385256,0.26516052318668254,-0.3,-1,0.018
1610612743,Denver Nuggets,82,33,49,0.402,104.9,108.2,-3.3,96.34,0.479,0.151,0.304,0.5307070538727553,0.2775175644028103,0.2822014051522248,-3.1,-2,-2.771
1610612765,Detroit Pistons,82,44,38,0.537,105.3,104.9,0.3,95.75,0.486,0.14,0.313,0.5224339274738783,0.3032407407407407,0.2951388888888889,0.6,1,0.485
1610612744,Golden State Warriors,82,73,9,0.89,113.5,102.8,10.6,100.24,0.567,0.15,0.267,0.5929282087272427,0.3619702176403208,0.24971363115693015,10.8,4,10.521
1610612745,Houston Rockets,82,41,41,0.5,107.3,107.3,0.0,98.42,0.49,0.161,0.297,0.5521796839354598,0.37005988023952097,0.3520958083832335,0.2,3,0.376
1610612754,Indiana Pacers,82,45,37,0.549,103.8,102.2,1.6,97.35,0.518,0.151,0.271,0.5365843413978495,0.2699530516431925,0.2676056338028169,1.7,3,1.658
1610612746,LA Clippers,82,53,29,0.646,107.2,102.7,4.5,96.81,0.533,0.133,0.234,0.556277148454135,0.3240291262135922,0.31796116504854366,4.3,-1,4.164
1610612747,Los Angeles Lakers,82,17,65,0.207,100.7,110.3,-9.7,96.55,0.424,0.142,0.271,0.50852949784672,0.29009433962264153,0.29127358490566035,-9.6,1,-8.904
1610612763,Memphis Grizzlies,82,42,40,0.512,104.7,107.1,-2.4,93.95,0.483,0.14,0.298,0.5245162383029174,0.22129186602870815,0.29545454545454547,-2.2,-4,-2.098
1610612748,Miami Heat,82,48,34,0.585,105.5,103.7,1.7,94.14,0.525,0.148,0.28,0.5445436724025267,0.22031823745410037,0.28151774785801714,1.6,-1,1.539
1610612749,Milwaukee Bucks,82,33,49,0.402,103.4,107.8,-4.5,95.05,0.483,0.159,0.286,0.5369462402915781,0.1897810218978102,0.2761557177615572,-4.2,-2,-3.921
1610612750,Minnesota Timberwolves,82,29,53,0.354,105.4,109.0,-3.5,96.2,0.497,0.155,0.279,0.5494741360807041,0.2017220172201722,0.33210332103321033,-3.5,1,-3.347
1610612740,New Orleans Pelicans,82,30,52,0.366,104.8,108.4,-3.7,97.64,0.472,0.137,0.252,0.5367521010160137,0.2770663562281723,0.25844004656577413,-3.8,-3,-3.518
1610612752,New York Knicks,82,32,50,0.39,103.9,106.7,-2.8,94.12,0.487,0.142,0.28,0.5266763723559134,0.25595238095238093,0.25476190476190474,-2.7,-2,-2.7
1610612760,Oklahoma City Thunder,82,55,27,0.671,112.1,104.8,7.4,97.54,0.546,0.162,0.347,0.565197767930412,0.2743055555555555,0.29166666666666663,7.3,-1,7.126
