season,team_id,team_name,off_rtg,def_rtg,net_rtg,pace,rest_days,ts_pct,tov_pct,oreb_pct,home,win_streak,srs,point_diff,fg3_rate,ftr,back_to_back,travel_km,prev_margin,label
2015-16,1610612748,Miami Heat,105.5,103.7,1.7,94.14,3,0.5445436724025267,0.148,0.28,0,-1,1.539,1.6,0.2203182374541003,0.2815177478580171,0,1052.0,12.0,0
2015-16,1610612766,Charlotte Hornets,106.4,103.7,2.7,96.24,2,0.5451976209558358,0.129,0.244,1,2,2.393,2.7,0.3483412322274881,0.2808056872037914,0,0.0,16.0,1
2015-16,1610612748,Miami Heat,105.5,103.7,1.7,94.14,2,0.5445436724025267,0.148,0.28,0,-1,1.539,1.6,0.2203182374541003,0.2815177478580171,0,0.0,-16.0,0
2015-16,1610612766,Charlotte Hornets,106.4,103.7,2.7,96.24,2,0.5451976209558358,0.129,0.244,0,2,2.393,2.7,0.3483412322274881,0.2808056872037914,0,1052.0,4.0,1
2015-16,1610612748,Miami Heat,105.5,103.7,1.7,94.14,2,0.5445436724025267,0.148,0.28,1,-1,1.539,1.6,0.2203182374541003,0.2815177478580171,0,1052.0,-4.0,0
2015-16,1610612748,Miami Heat,105.5,103.7,1.7,94.14,2,0.5445436724025267,0.148,0.28,0,-1,1.539,1.6,0.2203182374541003,0.2815177478580171,0,1052.0,-2.0,1
2015-16,1610612766,Charlotte Hornets,106.4,103.7,2.7,96.24,2,0.5451976209558358,0.129,0.244,1,2,2.393,2.7,0.3483412322274881,0.2808056872037914,0,1052.0,2.0,0
2015-16,1610612748,Miami Heat,105.5,103.7,1.7,94.14,2,0.5445436724025267,0.148,0.28,1,-1,1.539,1.6,0.2203182374541003,0.2815177478580171,0,1052.0,7.0,1
2015-16,1610612766,Charlotte Hornets,106.4,103.7,2.7,96.24,2,0.5451976209558358,0.129,0.244,0,2,2.393,2.7,0.3483412322274881,0.2808056872037914,0,1052.0,-7.0,0
2015-16,1610612737,Atlanta Hawks,104.6,100.8,3.9,97.63,5,0.5515021459227467,0.152,0.234,1,-2,3.525,3.6,0.3364928909952606,0.2369668246445497,0,0.0,0.0,1
2015-16,1610612738,Boston Celtics,105.8,102.5,3.3,99.43,5,0.5309423347398031,0.138,0.29,0,1,2.871,3.2,0.2926008968609865,0.2634529147982062,0,0.0,0.0,0
2015-16,1610612737,Atlanta Hawks,104.6,100.8,3.9,97.63,3,0.5515021459227467,0.152,0.234,1,-2,3.525,3.6,0.3364928909952606,0.2369668246445497,0,0.0,1.0,1
2015-16,1610612738,Boston Celtics,105.8,102.5,3.3,99.43,3,0.5309423347398031,0.138,0.29,0,1,2.871,3.2,0.2926008968609865,0.2634529147982062,0,0.0,-1.0,0
2015-16,1610612738,Boston Celtics,105.8,102.5,3.3,99.43,3,0.5309423347398031,0.138,0.29,1,1,2.871,3.2,0.2926008968609865,0.2634529147982062,0,1506.5,-17.0,1
2015-16,1610612737,Atlanta Hawks,104.6,100.8,3.9,97.63,3,0.5515021459227467,0.152,0.234,0,-2,3.525,3.6,0.3364928909952606,0.2369668246445497,0,1506.5,17.0,0
2015-16,1610612738,Boston Celtics,105.8,102.5,3.3,99.43,2,0.5309423347398031,0.138,0.29,1,1,2.871,3.2,0.2926008968609865,0.2634529147982062,0,0.0,8.0,1
2015-16,1610612737,Atlanta Hawks,104.6,100.8,3.9,97.63,2,0.5515021459227467,0.152,0.234,0,-2,3.525,3.6,0.3364928909952606,0.2369668246445497,0,0.0,-8.0,0
2015-16,1610612737,Atlanta Hawks,104.6,100.8,3.9,97.63,2,0.5515021459227467,0.152,0.234,1,-2,3.525,3.6,0.3364928909952606,0.2369668246445497,0,1506.5,-9.0,1
2015-16,1610612738,Boston Celtics,105.8,102.5,3.3,99.43,2,0.5309423347398031,0.138,0.29,0,1,2.871,3.2,0.2926008968609865,0.2634529147982062,0,1506.5,9.0,0
2015-16,1610612737,Atlanta Hawks,104.6,100.8,3.9,97.63,2,0.5515021459227467,0.152,0.234,0,-2,3.525,3.6,0.3364928909952606,0.2369668246445497,0,1506.5,27.0,1
2015-16,1610612738,Boston Celtics,105.8,102.5,3.3,99.43,2,0.5309423347398031,0.138,0.29,1,1,2.871,3.2,0.2926008968609865,0.2634529147982062,0,1506.5,-27.0,0
2015-16,1610612744,Golden State Warriors,113.5,102.8,10.6,100.24,5,0.5929282087272427,0.15,0.267,1,4,10.521,10.8,0.3619702176403208,0.2497136311569301,0,0.0,0.0,1
2015-16,1610612745,Houston Rockets,107.3,107.3,0.0,98.42,5,0.5521796839354598,0.161,0.297,0,3,0.376,0.2,0.3700598802395209,0.3520958083832335,0,0.0,0.0,0
2015-16,1610612744,Golden State Warriors,113.5,102.8,10.6,100.24,2,0.5929282087272427,0.15,0.267,1,4,10.521,10.8,0.3619702176403208,0.2497136311569301,0,0.0,26.0,1
2015-16,1610612745,Houston Rockets,107.3,107.3,0.0,98.42,2,0.5521796839354598,0.161,0.297,0,3,0.376,0.2,0.3700598802395209,0.3520958083832335,0,0.0,-26.0,0
2015-16,1610612745,Houston Rockets,107.3,107.3,0.0,98.42,3,0.5521796839354598,0.161,0.297,1,3,0.376,0.2,0.3700598802395209,0.3520958083832335,0,2641.2,-9.0,1
2015-16,1610612744,Golden State Warriors,113.5,102.8,10.6,100.24,3,0.5929282087272427,0.15,0.267,0,4,10.521,10.8,0.3619702176403208,0.2497136311569301,0,2641.2,9.0,0
2015-16,1610612744,Golden State Warriors,113.5,102.8,10.6,100.24,3,0.5929282087272427,0.15,0.267,0,4,10.521,10.8,0.3619702176403208,0.2497136311569301,0,0.0,-1.0,1
2015-16,1610612745,Houston Rockets,107.3,107.3,0.0,98.42,3,0.5521796839354598,0.161,0.297,1,3,0.376,0.2,0.3700598802395209,0.3520958083832335,0,0.0,1.0,0
2015-16,1610612744,Golden State Warriors,113.5,102.8,10.6,100.24,3,0.5929282087272427,0.15,0.267,1,4,10.521,10.8,0.3619702176403208,0.2497136311569301,0,2641.2,27.0,1
2015-16,1610612745,Houston Rockets,107.3,107.3,0.0,98.42,3,0.5521796839354598,0.161,0.297,0,3,0.376,0.2,0.3700598802395209,0.3520958083832335,0,2641.2,-27.0,0
2015-16,1610612759,San Antonio Spurs,109.3,98.2,11.1,94.54,5,0.5632591754103357,0.138,0.266,1,2,10.313,10.6,0.2231604342581423,0.2460796139927623,0,0.0,0.0,1
2015-16,1610612763,Memphis Grizzlies,104.7,107.1,-2.4,93.95,5,0.5245162383029174,0.14,0.298,0,-4,-2.098,-2.2,0.2212918660287081,0.2954545454545454,0,0.0,0.0,0
